605,Broadway & W 58 St,488,1
335,St Marks Pl & 2 Ave,301,1
1140,Washington Pl & Broadway,261,1
305,W 20 St & 8 Ave,521,1
1031,E 20 St & FDR Drive,332,1
528,E 2 St & 2 Ave,476,1
1013,Cleveland Pl & Spring St,212,1
1266,E 2 St & Avenue B,2002,1
1244,E 2 St & Avenue B,2002,1
449,Lexington Ave & E 26 St,382,1
206,Broadway & E 14 St,223,1
1577,W 43 St & 10 Ave,380,1
453,W 29 St & 9 Ave,515,1
174,E 13 St & Avenue A,317,1
541,St Marks Pl & 2 Ave,150,1
826,W 13 St & 6 Ave,361,1
1606,Franklin Ave & Myrtle Ave,438,1
1198,W 47 St & 10 Ave,458,1
570,Fulton St & Rockwell Pl,373,1
847,E 4 St & 2 Ave,446,1
166,Division St & Bowery,295,2
701,Perry St & Bleecker St,301,1
620,MacDougal St & Washington Sq,453,1
868,MacDougal St & Washington Sq,485,1
408,Allen St & E Houston St,331,1
2440,Lafayette Ave & Fort Greene Pl,290,1
1007,E 33 St & 5 Ave,355,2
187,Broadway & E 14 St,345,1
184,W 11 St & 6 Ave,247,1
111,Barclay St & Church St,147,1
286,Greenwich Ave & Charles St,294,1
735,St James Pl & Pearl St,304,0
326,Forsyth St & Canal St,291,1
517,E 12 St & 3 Ave,346,1
653,Barclay St & Church St,2008,1
1359,9 Ave & W 14 St,382,1
653,University Pl & E 14 St,393,1
149,Broadway & W 58 St,281,1
630,Sullivan St & Washington Sq,301,1
1035,E 11 St & 1 Ave,415,1
967,9 Ave & W 14 St,263,2
294,Allen St & Hester St,82,2
232,W 52 St & 9 Ave,479,1
226,E 32 St & Park Ave,536,1
76,9 Ave & W 45 St,479,1
1358,Allen St & Rivington St,539,2
373,Perry St & Bleecker St,434,1
1031,9 Ave & W 45 St,462,1
416,E 17 St & Broadway,470,1
2460,6 Ave & Canal St,518,1
468,E 10 St & 5 Ave,325,1
1467,Broadway & Battery Pl,357,0
736,E 33 St & 5 Ave,511,1
175,E 17 St & Broadway,444,1
711,10 Ave & W 28 St,546,1
509,W 37 St & 5 Ave,228,1
651,Allen St & Hester St,412,1
413,Bayard St & Baxter St,291,1
1869,Lawrence St & Willoughby St,437,0
524,Lexington Ave & E 26 St,498,1
142,Vesey Pl & River Terrace,3002,1
154,Pearl St & Hanover Square,306,1
481,E 48 St & 3 Ave,476,1
770,9 Ave & W 14 St,511,1
405,Broadway & W 51 St,164,1
463,5 Ave & E 29 St,536,1
101,Wythe Ave & Metropolitan Ave,539,1
118,Wythe Ave & Metropolitan Ave,539,1
309,Christopher St & Greenwich St,328,1
957,11 Ave & W 27 St,276,1
1017,E 11 St & Broadway,477,0
595,9 Ave & W 45 St,462,1
222,Emerson Pl & Myrtle Ave,120,1
200,Washington St & Gansevoort St,463,1
609,W 29 St & 9 Ave,497,1
1030,E 59 St & Sutton Pl,2021,1
858,S 5 Pl & S 4 St,409,1
268,Division St & Bowery,306,1
977,9 Ave & W 16 St,521,1
290,W 20 St & 7 Ave,116,1
481,E 33 St & 5 Ave,334,1
303,8 Ave & W 52 St,515,1
192,1 Ave & E 15 St,487,1
285,6 Ave & W 33 St,472,1
308,E 7 St & Avenue A,297,1
309,Ashland Pl & Hanson Pl,420,1
475,Lawrence St & Willoughby St,313,1
447,Allen St & E Houston St,394,1
391,Allen St & E Houston St,2003,1
73,Greenwich St & Warren St,309,1
280,Greenwich Ave & 8 Ave,494,1
434,E 6 St & Avenue B,325,1
362,E 3 St & 1 Ave,411,2
1473,W 41 St & 8 Ave,304,1
490,Carmine St & 6 Ave,303,1
86,Washington St & Gansevoort St,405,1
853,9 Ave & W 14 St,393,1
907,9 Ave & W 14 St,504,1
154,5 Ave & E 29 St,546,1
246,W 21 St & 6 Ave,284,1
233,E 15 St & 3 Ave,438,1
380,W 4 St & 7 Ave S,470,1
414,8 Ave & W 31 St,404,1
798,Christopher St & Greenwich St,401,1
260,9 Ave & W 16 St,358,1
494,Grand St & Greene St,254,1
781,W 41 St & 8 Ave,528,2
374,8 Ave & W 31 St,463,1
542,11 Ave & W 41 St,490,1
108,Broadway & W 51 St,173,1
470,Allen St & E Houston St,280,2
239,E 27 St & 1 Ave,540,1
771,W 29 St & 9 Ave,488,1
142,W 46 St & 11 Ave,478,1
523,Division St & Bowery,410,1
215,W 20 St & 8 Ave,494,1
219,W 16 St & The High Line,405,1
481,W 41 St & 8 Ave,472,1
649,W 37 St & 10 Ave,434,1
739,10 Ave & W 28 St,497,1
187,1 Ave & E 15 St,174,1
589,W 31 St & 7 Ave,536,1
368,Allen St & E Houston St,295,1
448,1 Ave & E 18 St,2003,1
387,1 Ave & E 18 St,2003,1
437,W 33 St & 7 Ave,538,1
480,9 Ave & W 16 St,348,1
164,Allen St & Rivington St,428,1
778,W 46 St & 11 Ave,499,1
605,W 53 St & 10 Ave,464,1
312,Allen St & E Houston St,236,1
550,1 Ave & E 15 St,473,1
288,W 38 St & 8 Ave,479,1
546,Forsyth St & Canal St,417,2
539,Forsyth St & Canal St,417,1
480,University Pl & E 14 St,527,1
661,11 Ave & W 27 St,529,1
190,Rivington St & Ridge St,401,2
628,E 12 St & 3 Ave,517,1
310,Allen St & Rivington St,348,2
191,W Broadway & Spring St,151,1
115051,Bank St & Washington St,358,2
973,E 59 St & Sutton Pl,487,1
365,Broadway & E 14 St,432,1
537,Cleveland Pl & Spring St,348,1
543,1 Ave & E 44 St,2021,1
558,W 43 St & 10 Ave,486,1
181,Pearl St & Hanover Square,534,1
278,W 37 St & 10 Ave,508,2
677,2 Ave & E 58 St,461,1
256,W 22 St & 10 Ave,404,2
1246,FDR Drive & E 35 St,2004,1
798,Suffolk St & Stanton St,503,2
1390,8 Ave & W 33 St,457,1
546,E 3 St & 1 Ave,361,2
171,Cumberland St & Lafayette Ave,271,1
1546,W 33 St & 7 Ave,137,2
1701,8 Ave & W 31 St,304,1
1254,MacDougal St & Prince St,153,1
424,11 Ave & W 41 St,2021,1
189,E 19 St & 3 Ave,497,1
819,E 3 St & 1 Ave,195,1
1105,E 9 St & Avenue C,379,1
492,Stanton St & Chrystie St,82,1
1466,E 16 St & 5 Ave,435,0
555,E 33 St & 5 Ave,459,1
231,10 Ave & W 28 St,448,1
333,W 43 St & 10 Ave,490,1
1424,Broadway & W 41 St,521,2
419,Pershing Square N,527,1
407,Avenue D & E 3 St,307,1
1161,Broadway & W 24 St,480,1
251,Hancock St & Bedford Ave,289,1
790,2 Ave & E 58 St,545,2
130,E 37 St & Lexington Ave,517,1
1791,Monroe St & Classon Ave,251,1
275,Pershing Square S,527,1
327,Rivington St & Ridge St,428,1
122,S 3 St & Bedford Ave,539,1
217,E 7 St & Avenue A,293,1
313,W 33 St & 7 Ave,493,1
1390,Mott St & Prince St,488,1
250,8 Ave & W 31 St,489,1
272,1 Ave & E 15 St,285,1
370,W 15 St & 7 Ave,402,2
629,Barrow St & Hudson St,2021,2
509,W 43 St & 10 Ave,520,1
584,W 43 St & 6 Ave,495,2
171,Broadway & W 55 St,173,1
316,8 Ave & W 33 St,525,1
196,E 32 St & Park Ave,536,1
800,W 33 St & 7 Ave,525,1
518,W 42 St & 8 Ave,422,1
797,E 20 St & FDR Drive,151,1
1926,W 21 St & 6 Ave,334,0
479,W 33 St & 7 Ave,538,1
180,W 26 St & 8 Ave,521,1
1944,9 Ave & W 18 St,212,2
245,W 17 St & 8 Ave,459,1
404,W 17 St & 8 Ave,462,2
384,W 38 St & 8 Ave,486,1
849,Washington Pl & Broadway,295,1
943,8 Ave & W 33 St,516,1
501,W 52 St & 9 Ave,164,1
1850,1 Ave & E 30 St,351,1
1299,S Portland Ave & Hanson Pl,224,2
248,W 39 St & 9 Ave,525,1
643,W 15 St & 7 Ave,2012,2
358,9 Ave & W 22 St,482,1
379,W 22 St & 8 Ave,453,1
340,E 2 St & Avenue B,229,1
573,W 39 St & 9 Ave,513,1
685,8 Ave & W 33 St,447,1
687,Avenue D & E 8 St,345,1
581,Broadway & W 55 St,492,1
340,8 Ave & W 31 St,509,1
327,Centre St & Worth St,417,1
262,Lexington Ave & Classon Ave,384,1
1909,Flushing Ave & Carlton Ave,536,2
681,E 31 St & 3 Ave,525,1
382,W 33 St & 7 Ave,153,1
121,Front St & Washington St,430,1
236,W 15 St & 7 Ave,496,1
427,DeKalb Ave & Vanderbilt Ave,310,1
316,E 31 St & 3 Ave,379,1
330,W 38 St & 8 Ave,525,1
690,11 Ave & W 41 St,352,1
113,Laight St & Hudson St,329,1
620,Grand Army Plaza & Central Park S,477,1
924,Madison St & Montgomery St,537,2
186,Hicks St & Montague St,391,2
629,E 6 St & Avenue B,383,2
330,8 Ave & W 31 St,458,1
272,E 11 St & 2 Ave,280,1
554,E 20 St & FDR Drive,402,2
332,Hicks St & Montague St,310,1
1073,W 22 St & 10 Ave,403,2
258,Adelphi St & Myrtle Ave,324,1
820,W 41 St & 8 Ave,252,1
1870,St James Pl & Pearl St,2006,1
803,W 41 St & 8 Ave,352,1
1749,Clark St & Henry St,383,1
1139,Norfolk St & Broome St,466,1
684,Lafayette St & E 8 St,494,2
1449,W 59 St & 10 Ave,266,2
431,Pitt St & Stanton St,295,1
380,Madison St & Montgomery St,268,1
511,W 11 St & 6 Ave,2004,1
970,Sands St & Gold St,412,1
697,E 14 St & Avenue B,334,1
395,W 25 St & 6 Ave,485,1
682,Washington Pl & 6 Ave,379,1
164,Bond St & Schermerhorn St,323,1
1572,W 18 St & 6 Ave,496,0
440,Washington Pl & 6 Ave,293,1
437,Suffolk St & Stanton St,229,1
607,E 13 St & Avenue A,537,2
571,E 25 St & 1 Ave,285,1
786,Washington Pl & 6 Ave,327,1
498,Henry St & Grand St,312,2
1484,Water - Whitehall Plaza,472,1
446,Pershing Square N,325,1
425,Shevchenko Pl & E 6 St,511,1
751,W 53 St & 10 Ave,318,1
580,8 Ave & W 52 St,236,1
269,Atlantic Ave & Furman St,391,1
320,W 29 St & 9 Ave,470,1
957,Broadway & W 51 St,281,0
349,W 47 St & 10 Ave,523,1
1049,E 12 St & 3 Ave,525,1
343,E 9 St & Avenue C,504,1
1132,Henry St & Grand St,435,2
365,1 Ave & E 30 St,474,1
2025,Clark St & Henry St,484,1
919,E 11 St & Broadway,462,2
425,St Marks Pl & 2 Ave,254,1
544,Broadway & W 51 St,167,1
433,E 32 St & Park Ave,492,2
820,E 39 St & 3 Ave,388,1
399,W 16 St & The High Line,496,1
919,W 34 St & 11 Ave,422,1
2498,Stanton St & Mangin St,341,1
7062,E 51 St & 1 Ave,514,1
2164,2 Ave & E 58 St,2010,1
228,Lexington Ave & E 24 St,174,1
552,W 31 St & 7 Ave,524,1
421,W 31 St & 7 Ave,537,1
301,Greenwich St & Warren St,79,1
304,W 46 St & 11 Ave,448,2
553,W 24 St & 7 Ave,510,1
398,MacDougal St & Prince St,265,2
533,W 41 St & 8 Ave,463,1
402,Broadway & W 32 St,523,1
438,E 31 St & 3 Ave,490,1
660,9 Ave & W 18 St,345,2
214,E 20 St & Park Ave,497,1
512,St Marks Pl & 2 Ave,358,1
917,E 27 St & 1 Ave,434,2
423,W 39 St & 9 Ave,442,1
494,Pershing Square N,503,1
373,South End Ave & Liberty St,417,1
532,Mercer St & Spring St,497,1
1047,8 Ave & W 31 St,161,1
475,W 52 St & 5 Ave,474,1
277,8 Ave & W 33 St,525,1
493,Cleveland Pl & Spring St,433,1
379,Spruce St & Nassau St,147,2
420,8 Ave & W 31 St,478,1
